nta_code,lat,long
QN20,40.7043986,-73.9018292
QN05,40.6584068,-73.7389596
SI32,40.5417247,-74.20801
BK96,40.646745,-73.9132338
BX52,40.8288889,-73.8272222
BK21,40.5768098,-74.0079781
BK17,40.5894219,-73.92527
MN24,40.7065737,-73.9904233
BX55,40.8246079,-73.8713595
BX09,40.8078388,-73.856765
QN01,40.6808594,-73.7919103
QN55,40.6794072,-73.8507279
QN02,40.6626441,-73.7683784
QN03,40.6654009,-73.7575587
BX29,40.8760671,-73.918674
QN08,40.6930086,-73.7729086
SI37,40.6105536,-74.0967185
BK93,40.650167,-73.8836844
QN72,40.7669996,-73.9124667
BK35,40.6872176,-73.9417735
MN50,40.7316903,-73.9778494
BK34,40.645532,-74.0123851
BK32,40.645532,-74.0123851
SI24,40.6090167,-74.1252423
MN19,40.7540369,-73.9668408
BX36,40.8494044,-73.9172035
MN40,40.7844653,-73.9550857
MN12,40.7870106,-73.9753676
BX28,40.899455,-73.8725896
BX37,40.8410387,-73.8426998
MN35,40.8461314,-73.9373049
MN36,40.8417082,-73.9393554
BK23,40.5775,-73.9725
BX63,40.821482,-73.923794
BX08,40.8430609,-73.8816001
SI22,40.6461122,-74.0840033
MN23,40.735781,-74.0035709
BX59,40.831368,-73.8681553
SI07,40.621215,-74.1318094
QN49,40.7920449,-73.8095574
BX44,40.8776859,-73.8566087
BK72,40.7081156,-73.9570696
BK40,40.6539346,-73.9756567
QN53,40.6901366,-73.8566087
BX62,40.895361,-73.862916
QN63,40.7512123,-73.9036487
MN32,40.7762231,-73.9492079
